Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,1,2008-12-29,2009-01-04,65,65,0,,1,,0,1,0,0,0,0,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,2,2009-01-05,2009-01-11,76,76,0,,1,,0,1,0,0,0,0,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,3,2009-01-12,2009-01-18,70,70,0,,1,,0,1,0,0,0,0,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,4,2009-01-19,2009-01-25,74,74,0,,3,,0,3,0,0,0,0,3,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,5,2009-01-26,2009-02-01,49,49,0,,0,,0,0,0,0,0,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,6,2009-02-02,2009-02-08,50,50,0,,0,,0,0,0,0,0,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,7,2009-02-09,2009-02-15,63,63,2,,0,,0,2,0,0,0,0,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,8,2009-02-16,2009-02-22,46,46,2,,0,,0,2,0,0,0,0,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,9,2009-02-23,2009-03-01,62,62,0,,0,,0,0,0,0,0,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,10,2009-03-02,2009-03-08,52,52,3,,1,,0,4,0,0,0,0,4,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,11,2009-03-09,2009-03-15,64,64,2,,0,,0,2,0,0,0,0,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,12,2009-03-16,2009-03-22,55,55,2,,1,,0,3,0,0,1,1,4,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,13,2009-03-23,2009-03-29,62,62,0,,1,,0,1,0,0,0,0,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,14,2009-03-30,2009-04-05,68,68,0,,0,,0,0,0,0,0,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,15,2009-04-06,2009-04-12,79,79,0,,5,,0,5,0,0,0,0,5,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,16,2009-04-13,2009-04-19,51,51,0,,0,,0,0,0,0,0,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,17,2009-04-20,2009-04-26,45,45,0,,2,,0,2,0,0,0,0,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,18,2009-04-27,2009-05-03,250,250,5,,12,,0,17,0,0,2,2,19,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,19,2009-05-04,2009-05-10,263,263,2,,9,,0,11,0,0,2,2,13,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,20,2009-05-11,2009-05-17,135,135,2,,2,,,4,,,1,1,5,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2009,21,2009-05-18,2009-05-24,170,170,2,1,5,,,8,,,1,1,9,,Sporadic
